IAU_Name,RA_deg,Dec_deg,Cross_ID,Spectral_Type,Crowding_Category,d_arcsec,Delta_m12_F275W,F_WR_F275W,F_WR_F475W,F_WR_F814W,mag_F275W,e_mag_F275W,mag_F336W,e_mag_F336W,mag_F475W,e_mag_F475W,mag_F814W,e_mag_F814W,mag_F110W,e_mag_F110W,mag_F160W,e_mag_F160W,Coord_Source,DEIMOS_Flag
M33 J013334.24+303347.3,23.3927,30.5631,MJ G13,WN5,Isolated,0.1360,2.6400,0.3780,,,,,,,,,,,,,,,PHATTER,0
M33 J013334.27+304130.3,23.3928,30.6918,AM 7,WN8,Isolated,0.1260,2.3400,0.8140,,,,,,,,,,,,,,,PHATTER,0
M33 J013334.90+310042.7,23.3954,31.0119,---,WN4,---,,,,,,,,,,,,,,,,,,Neugent+2011,0
M33 J013335.20+310037.5,23.3967,31.0104,---,WN3,---,,,,,,,,,,,,,,,,,,Neugent+2011,0
M33 J013335.43+304220.1,23.3976,30.7056,AM 8,WC4,Isolated,0.1200,4.8000,0.6620,,,,,,,,,,,,,,,PHATTER,0
M33 J013335.68+303629.0,23.3987,30.6081,MC 34,WC,Moderately Crowded,0.1880,1.0700,0.6600,,,,,,,,,,,,,,,PHATTER,0
M33 J013336.63+304302.6,23.4026,30.7174,---,WN4+O,Isolated,0.1390,1.5800,0.5270,,,,,,,,,,,,,,,PHATTER,0
M33 J013337.30+303526.9,23.4054,30.5908,MCA 5,WN4,Isolated,0.0910,4.6500,0.6580,,,,,,,,,,,,,,,PHATTER,0
M33 J013337.78+302831.8,23.4074,30.4755,---,WN4,---,,,,,,,,,,,,,,,,,,Neugent+2011,0
M33 J013338.15+303112.5,23.4090,30.5202,MC 35,WC6,Isolated,0.2600,5.1400,0.7350,,,,,,,,,,,,,,,PHATTER,0
M33 J013339.27+303554.7,23.4136,30.5985,MC 36,WN4,Isolated,0.0940,1.0500,0.5330,,,,,,,,,,,,,,,PHATTER,0
M33 J013339.44+304540.1,23.4144,30.7611,UIT154,B0.5Ia+WNE,Very Crowded,0.6120,0.1000,0.9830,,,,,,,,,,,,,,,PHATTER,0
M33 J013339.67+302101.1,23.4153,30.3503,MCA 6,WNE,---,,,,,,,,,,,,,,,,,,Neugent+2011,0
